City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
405,San Luis,AR,-33.3,-66.34,51.53,87,83,11.95,Clouds
406,Menongue,AO,-14.66,17.69,62.74,38,25,1.72,Clouds
407,Halifax,CA,44.65,-63.57,66.99,94,98,9.26,Rain
408,Fortuna,US,40.6,-124.16,55.99,100,90,1.9,Clouds
409,Guapo,BR,-16.83,-49.53,60.8,77,14,1.12,Clouds
410,Teguise,ES,29.06,-13.56,80.6,65,1,3.36,Clear
411,Dinguiraye,GN,11.3,-10.72,69.22,97,100,1.21,Clouds
412,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,71.98,82,71,1.34,Clouds
413,Bankura,IN,23.25,87.07,89.15,69,100,17.52,Rain
414,Mehamn,NO,71.04,27.85,48.2,81,75,2.24,Clouds
415,Tuntum,BR,-5.26,-44.65,72.66,79,17,2.82,Clouds
416,San Patricio,MX,19.22,-104.7,77.68,88,100,3.96,Rain
417,Paamiut,GL,61.99,-49.67,43.02,63,0,5.12,Clear
418,Mbigou,GA,-1.9,11.91,68.45,92,91,2.73,Clouds
419,Dipolog,PH,8.59,123.34,86.05,74,82,6.87,Rain
420,Placido De Castro,BR,-10.34,-67.19,72.77,50,13,2.33,Clouds
421,Tiznit,MA,29.58,-9.5,89.38,15,19,6.73,Clouds
422,Dingle,PH,11.0,122.67,87.58,70,0,12.1,Clear
423,Zemio,CF,5.03,25.14,71.94,93,86,2.33,Clouds
424,Kutum,SD,14.2,24.67,74.25,72,61,6.62,Rain
425,Kissamos,GR,35.49,23.66,78.8,78,20,3.36,Clouds
426,Tabou,CI,4.42,-7.35,73.83,85,86,4.41,Clouds
427,Masuguru,TZ,-11.37,38.42,78.71,57,0,4.52,Clear
428,Broome,US,42.25,-75.83,62.6,77,20,6.93,Clouds
429,Santa Maria,BR,-29.68,-53.81,65.12,78,29,5.73,Clouds
430,Zhuhai,CN,22.28,113.57,91.4,79,40,16.11,Clouds
